threadpoolctl                 (!) 3.4.0                threadpoolctl
tifffile                      (!) 2024.2.12            Read and write TIFF ...
tiktoken                      (!) 0.3.3                tiktoken is a fast B...
tldextract                    (!) 5.1.2                Accurately separates...
tokenizers                    (!) 0.13.3               Fast and Customizabl...
tomli                         (!) 2.0.1                A lil' TOML parser
tomlkit                       (!) 0.12.4               Style preserving TOM...
torch                         (!) 2.0.1                Tensors and Dynamic ...
torchvision                   (!) 0.15.2               image and video data...
tornado                       (!) 6.4                  Tornado is a Python ...
tqdm                          (!) 4.64.0               Fast, Extensible Pro...
traitlets                     (!) 5.14.2               Traitlets Python con...
transformers                  (!) 4.29.2               State-of-the-art Mac...
twisted                       (!) 24.3.0               An asynchronous netw...
txaio                         (!) 23.1.1               Compatibility API be...
txtorcon                      (!) 23.11.0              Twisted-based Tor co...
typer                         (!) 0.9.4                Typer, build great C...
typing-extensions                 4.11.0               Backported and Exper...
tzdata                        (!) 2024.1               Provider of IANA tim...
ultralytics                   (!) 8.1.47               Ultralytics YOLOv8 f...
uritemplate                   (!) 4.1.1                Implementation of RF...
urllib3                           2.2.1                HTTP library with th...
urwid                         (!) 2.6.11               A full-featured cons...
urwid-readline                (!) 0.14                 A textbox edit widge...
uvicorn                       (!) 0.22.0               The lightning-fast A...
uvloop                        (!) 0.19.0               Fast implementation ...
vbuild                        (!) 0.8.2                A simple module to e...
virtualenv                    (!) 20.25.1              Virtual Python Envir...
wasabi                        (!) 1.1.2                A lightweight consol...
watchfiles                    (!) 0.21.0               Simple, modern and h...
wcwidth                       (!) 0.2.13               Measures the display...
weasel                        (!) 0.3.4                Weasel: A small and ...
websockets                    (!) 11.0.3               An implementation of...
wheel                         (!) 0.43.0               A built-package form...
wsproto                       (!) 1.2.0                WebSockets state-mac...
yarl                          (!) 1.9.4                Yet another URL library
zope-interface                (!) 6.3                  Interfaces for Python
